-773.487245578, -676.203614712, -214.084995504, -410.020544421, -2.21762475055, 1147.61996039, 429.516796301, -1061.59937454, 539.031676026, 11.7596377148, -60.7071185036, 149.318787065, 567.947898812, 281.101590235, -1171.08657931, -603.204250924, -9.9750491554, 772.643890213, -479.814204774, 1002.85239974, -613.67999672, 1048.84239722, 1168.17971355, -199.940440982, -1072.80064534
54.4176469972, -1098.94149733, 373.432296302, -1044.84324772, -1149.09134702, -489.576387699, 297.196340783, -280.41056158, 1141.21342118, -1172.78736798, 671.590397218, 189.397676626, -634.583724879, 1170.63424844, -780.151626187, 1090.51675421, -116.829449305, 526.179889417, -802.773927738, 935.375639801, -167.772910493, 931.165778878, 89.6944877961, 637.188885409, -390.353283074
553.956539298, -199.669904249, 1126.35257792, 132.111047286, 1132.18689828, 402.743070128, 270.418070612, 720.961540017, -664.478381926, -1172.0945235, -1115.97171221, 714.086701391, 893.501606115, 990.840786238, 339.135752406, -430.955278702, -688.627919118, -242.139740438, -130.152751041, -1084.15558825, 848.534642937, 163.025769387, -805.248196137, -309.328003528, -822.248284897
587.092958695, 77.208523407, -237.374883511, -1169.52100038, -1038.05432311, -1066.36256013, -673.396632771, 740.289730655, -761.285287291, 191.699932258, 1120.42748048, -221.190307758, 198.517697329, 859.038939019, 1150.35710964, -212.287998303, -381.590079588, 591.541313445, 337.377622516, 550.544152284, -884.32583021, 365.525626968, 907.748365877, -582.264750349, -856.288670166
324.219126754, 360.475203264, -684.807490122, -1088.75130423, -467.587736761, 1138.82454701, 1006.87724977, -1.69456585365, 521.621726952, 1002.26487726, 197.708860333, -980.70256422, -904.200811647, 17.3045291371, -205.931712161, 450.318394836, -200.886543519, 807.51447671, 827.774481326, -1157.35372061, -628.210594305, 177.077047592, 1087.88020025, -428.47982391, -780.345644631
-1172.42701746, -703.157224598, 513.153669592, 37.1563175737, 886.010517429, -680.990749577, 151.979750111, 137.130137398, 570.827598862, -899.380537703, 594.667603497, 1139.85312786, -342.614113134, -1035.90261234, 50.5662810863, 917.577113127, -714.951917221, 1159.20414089, -526.937722794, 914.623782541, -182.23298683, -374.498170291, -86.1770307889, -1056.74994795, 412.044553759
450.730962752, -410.239645857, 758.988683092, -233.644761837, 481.778970548, -430.900908938, 927.360556052, -553.791186126, 396.154579812, 1158.09171902, -99.3662757003, 1054.16108197, -111.790802159, -1044.26459753, 568.713654876, -610.160460237, -1035.90438894, -683.956084568, 302.721801847, 971.332218138, -802.787005274, 46.1896661712, -1171.93824702, 351.563601938, 397.83047615
62.80852867, 1166.95596474, 92.2572336463, -941.236778148, 15.4075617206, 800.28291072, -221.003583837, -1031.69281509, -69.9590537713, 223.019375689, 455.904603875, -690.861732471, -806.224259486, 464.489698392, -480.500659753, 1006.04053982, 745.975968129, -756.993094562, 792.534855378, 1139.70216997, -619.299503305, 688.315001412, -1135.8470843, -389.517788794, 1020.56171279
-88.67981245, -323.215472449, 1172.59867853, 1097.72531538, 35.679883286, 266.333163134, -1104.83551952, -533.015433333, -101.42967989, -931.665193465, 679.017363888, -484.123421226, -908.122833078, 870.798977256, 920.287752886, 9.98419277022, 693.044543273, -256.825677065, -1173.39498864, 309.926668513, -490.329196942, -991.738603315, 511.906648768, 789.219663198, 241.207885085
-766.26336579, -599.926690042, 915.987830452, 715.071329231, -350.018087474, 216.673994416, -51.2941034932, 774.7114179, 698.243633336, 418.867193877, 860.494214125, -991.860406173, 302.64202241, -197.630278214, -345.303166901, -294.774908248, 166.295683162, -567.368472384, -703.991635953, 228.580811707, -846.48769057, -1124.09509593, 1151.13993195, -1134.5109184, 1073.90402523
